t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
4.870000000000000000e+02,5.000000000000000000e+01,2.999999999999999889e-02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,-0.000000000000000000e+00,0.000000000000000000e+00,1.000015999999999963e+02,-0.000000000000000000e+00,1.409999999999999920e+00
2.094000000000000000e+03,5.400000000000000000e+01,5.580000000000000071e+00,2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.600000000000000089e+00,1.500000000000000000e+00,1.000015999999999963e+02,1.120000000000000107e+00,1.429999999999999938e+00
2.646000000000000000e+03,5.100000000000000000e+01,5.639999999999999680e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.600000000000000089e+00,0.000000000000000000e+00,1.000016999999999996e+02,1.139999999999999902e+00,1.399999999999999911e+00
3.129000000000000000e+03,5.200000000000000000e+01,5.610000000000000320e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.590000000000000080e+00,0.000000000000000000e+00,1.000016999999999996e+02,1.129999999999999893e+00,1.399999999999999911e+00
3.637000000000000000e+03,5.100000000000000000e+01,5.559999999999999609e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.580000000000000071e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.110000000000000098e+00,1.419999999999999929e+00
4.144000000000000000e+03,5.100000000000000000e+01,5.509999999999999787e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.560000000000000053e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.100000000000000089e+00,1.419999999999999929e+00
4.627000000000000000e+03,5.200000000000000000e+01,5.469999999999999751e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.550000000000000044e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.100000000000000089e+00,1.409999999999999920e+00
5.133000000000000000e+03,5.100000000000000000e+01,5.429999999999999716e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.550000000000000044e+00,0.000000000000000000e+00,1.000016999999999996e+02,1.090000000000000080e+00,1.419999999999999929e+00
5.641000000000000000e+03,5.100000000000000000e+01,5.410000000000000142e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.540000000000000036e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.090000000000000080e+00,1.419999999999999929e+00
6.147000000000000000e+03,5.000000000000000000e+01,5.389999999999999680e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.530000000000000027e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.080000000000000071e+00,1.409999999999999920e+00
6.632000000000000000e+03,5.100000000000000000e+01,5.370000000000000107e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.530000000000000027e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.070000000000000062e+00,1.419999999999999929e+00
7.139000000000000000e+03,5.100000000000000000e+01,5.349999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.520000000000000018e+00,0.000000000000000000e+00,1.000014999999999930e+02,1.080000000000000071e+00,1.399999999999999911e+00
7.645000000000000000e+03,5.100000000000000000e+01,5.339999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.520000000000000018e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.070000000000000062e+00,1.409999999999999920e+00
8.128000000000000000e+03,5.100000000000000000e+01,5.330000000000000071e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.510000000000000009e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.070000000000000062e+00,1.399999999999999911e+00
8.635000000000000000e+03,5.100000000000000000e+01,5.309999999999999609e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.520000000000000018e+00,0.000000000000000000e+00,1.000016999999999996e+02,1.070000000000000062e+00,1.409999999999999920e+00
9.142000000000000000e+03,5.100000000000000000e+01,5.299999999999999822e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.510000000000000009e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.070000000000000062e+00,1.419999999999999929e+00
9.648000000000000000e+03,5.100000000000000000e+01,5.299999999999999822e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.510000000000000009e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.070000000000000062e+00,1.409999999999999920e+00
1.013200000000000000e+04,5.000000000000000000e+01,5.299999999999999822e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.510000000000000009e+00,0.000000000000000000e+00,1.000015999999999963e+02,1.060000000000000053e+00,1.419999999999999929e+00
