Ts (degC),I (a.u.),P (W),q (slm)
3.325000000000000000e+01,1.677653008054511389e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.415999999999999659e+01,1.553059886306393892e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.357999999999999829e+01,1.578246021569551900e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.314000000000000057e+01,1.578485741701130290e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.295000000000000284e+01,1.587401458167291712e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.263000000000000256e+01,1.557817209924817784e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.257000000000000028e+01,1.594699987640982727e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.246000000000000085e+01,1.610842908834585687e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.238000000000000256e+01,1.572358958317669341e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.225999999999999801e+01,1.565011400780081283e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.202000000000000313e+01,1.623149568806391442e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.204999999999999716e+01,1.614160310244353721e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.194999999999999929e+01,1.533544869078947464e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.182999999999999829e+01,1.583314636437974405e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.160999999999999943e+01,1.618936481334583368e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.153000000000000114e+01,1.596333681569553679e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.139999999999999858e+01,1.580994056870300788e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e+01,1.557285292387228226e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.119000000000000128e+01,1.598758722941731336e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.112000000000000099e+01,1.556865966936096083e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.105999999999999872e+01,1.596965995770680485e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.092999999999999972e+01,1.611422499389095930e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.087000000000000099e+01,1.611334298148493282e+06,0.000000000000000000e+00,0.000000000000000000e+00
